micros,A0,A1,A2
162268,1023,1023,487
164112,1023,1023,488
165856,1023,1023,490
167600,1023,1023,491
169344,1023,1023,491
171088,1023,1023,491
172832,1023,1023,491
174576,1023,1023,491
176320,1023,1023,491
178064,1023,1023,491
179808,1023,1023,490
181552,1023,1023,491
183300,1023,1023,491
185048,1023,1023,491
186792,1023,1023,491
188536,1023,1023,491
190280,1023,1023,490
192024,1023,1023,491
193768,1023,1023,490
195512,1023,1023,491
197256,1023,1023,490
199000,1023,1023,490
200744,1023,1023,490
205972,1023,1023,487
207708,1023,1023,488
209444,1023,1023,489
211180,1023,1023,490
212916,1023,1023,490
214660,1023,1023,490
216404,1023,1023,490
218148,1023,1023,490
219884,1023,1023,490
221628,1023,1023,490
223372,1023,1023,490
225116,1023,1023,490
226860,1023,1023,490
228604,1023,1023,490
230348,1023,1023,490
232092,1023,1023,490
233844,1023,1023,490
235588,1023,1023,490
237332,1023,1023,490
239076,1023,1023,490
240820,1023,1023,490
242564,1023,1023,490
244316,1023,1023,490
249532,1023,1023,486
251276,1023,1023,487
253020,1023,1023,488
254764,1023,1023,490
256508,1023,1023,490
258252,1023,1023,490
259988,1023,1023,490
261724,1023,1023,490
263468,1023,1023,490
265212,1023,1023,490
266956,1023,1023,490
268700,1023,1023,490
270436,1023,1023,490
272180,1023,1023,490
273916,1023,1023,490
275652,1023,1023,490
277396,1023,1023,490
279140,1023,1023,489
280884,1023,1023,490
282636,1023,1023,490
284372,1023,1023,490
286116,1023,1023,490
287860,1023,1023,490
289604,1023,1023,489
294828,1023,1023,487
296572,1023,1023,487
298308,1023,1023,488
300052,1023,1023,489
301796,1023,1023,489
303540,1023,1023,490
305292,1023,1023,490
307036,1023,1023,490
308784,1023,1023,489
310524,1023,1023,489
312268,1023,1023,490
314012,1023,1023,490
315764,1023,1023,490
317508,1023,1023,489
319252,1023,1023,489
320996,1023,1023,490
322740,1023,1023,490
324476,1023,1023,490
326228,1023,1023,490
327972,1023,1023,490
329716,1023,1023,490
331452,1023,1023,490
333188,1023,1023,490
338400,1023,1023,487
340140,1023,1023,487
341876,1023,1023,488
343612,1023,1023,489
345356,1023,1023,490
347100,1023,1023,490
348844,1023,1023,490
350588,1023,1023,489
352324,1023,1023,489
354068,1023,1023,489
355812,1023,1023,490
357548,1023,1023,490
359292,1023,1023,489
361044,1023,1023,489
