micros,A0,A1,A2
161672,524,531,0
163356,526,533,0
164940,525,532,0
166532,528,535,0
168116,529,535,0
169700,528,535,0
171284,528,536,0
172868,529,535,0
174460,529,535,0
176036,529,536,0
177628,529,536,0
179212,529,536,0
180796,530,536,0
182380,529,536,0
183972,530,536,0
185564,530,536,0
187156,530,536,0
188748,530,536,0
190336,530,537,0
191932,530,537,0
193520,530,536,0
195108,530,536,0
196708,530,536,0
198300,530,536,0
199900,529,536,0
201492,529,536,0
203084,529,536,0
204672,529,536,0
209760,526,533,0
211344,527,534,0
212924,527,534,0
214504,529,536,0
216088,530,536,0
217672,530,537,0
219256,530,537,0
220840,530,537,0
222424,530,537,0
224008,530,537,0
225592,531,537,0
227176,530,538,0
228760,530,537,0
230340,531,538,0
231924,531,537,0
233504,531,538,0
235088,531,538,0
236672,531,537,0
238256,531,538,0
239840,531,537,0
241424,530,537,0
243016,530,537,0
244596,530,538,0
246184,530,537,0
247764,530,537,0
249344,530,537,0
250928,530,537,0
252512,531,537,0
257564,525,533,0
259152,528,536,0
260736,529,536,0
262320,530,537,0
263904,531,538,0
265488,531,538,0
267072,531,538,0
268656,531,538,0
270236,532,539,0
271816,532,538,0
273396,531,539,0
274976,532,539,0
276560,532,539,0
278144,532,539,0
279728,532,538,0
281312,532,539,0
282896,532,539,0
284480,532,538,0
286064,532,539,0
287644,531,538,0
289224,531,538,0
290804,531,538,0
292384,531,538,0
293968,531,538,0
295552,531,538,0
297136,532,539,0
298720,531,538,0
300304,532,538,0
301892,532,538,0
306940,528,536,0
308532,530,537,0
310112,530,537,0
311696,532,539,0
313276,532,540,0
314860,532,539,0
316444,532,540,0
318024,533,539,0
319612,533,539,0
321196,533,540,0
322776,533,540,0
324360,533,540,0
325944,533,540,0
327528,533,539,0
329112,532,539,0
330692,532,539,0
332272,533,539,0
333856,532,539,0
335440,532,539,0
337024,532,539,0
338608,532,539,0
340192,533,539,0
341776,532,539,0
343368,533,540,0
344948,533,540,0
346528,533,540,0
348108,533,540,0
349688,533,540,0
354736,528,537,0
356324,531,538,0
357904,531,538,0
359492,533,540,0
361072,534,540,0
362656,534,541,0
364240,534,541,0
365824,534,541,0
367408,534,541,0
368992,534,541,0
370572,533,540,0
372160,533,541,0
373740,534,540,0
375324,533,540,0
376904,533,540,0
378488,533,540,0
380072,533,540,0
381656,533,540,0
383240,533,540,0
384828,533,540,0
386408,534,541,0
387988,533,541,0
389568,534,541,0
391148,534,541,0
392728,534,541,0
394312,534,541,0
395896,534,541,0
397484,534,541,0
399064,534,541,0
404140,531,539,0
405728,532,539,0
407312,532,540,0
408908,534,542,0
410484,535,542,0
412064,534,541,0
413644,534,541,0
415224,534,541,0
416808,534,542,0
418392,534,541,0
419976,534,541,0
421560,534,542,0
423144,534,541,0
424728,534,541,0
426312,534,541,0
