micros,A0,A1,A2
161360,1023,1023,493
163200,1023,1023,494
164944,1023,1023,495
166688,1023,1023,496
168432,1023,1023,496
170176,1023,1023,496
171920,1023,1023,496
173664,1023,1023,496
175408,1023,1023,496
177156,1023,1023,496
178904,1023,1023,496
180648,1023,1023,496
182392,1023,1023,496
184136,1023,1023,496
185880,1023,1023,496
187624,1023,1023,496
189368,1023,1023,496
191112,1023,1023,496
192856,1023,1023,496
194600,1023,1023,496
196344,1023,1023,496
198088,1023,1023,496
199832,1023,1023,496
205064,1023,1023,493
206804,1023,1023,493
208540,1023,1023,494
210284,1023,1023,496
212020,1023,1023,496
213756,1023,1023,496
215492,1023,1023,495
217236,1023,1023,496
218980,1023,1023,495
220724,1023,1023,496
222468,1023,1023,495
224212,1023,1023,495
225956,1023,1023,495
227700,1023,1023,496
229436,1023,1023,496
231180,1023,1023,495
232932,1023,1023,495
234676,1023,1023,495
236420,1023,1023,495
238172,1023,1023,495
239916,1023,1023,495
241660,1023,1023,495
243412,1023,1023,495
248624,1023,1023,492
250364,1023,1023,493
252108,1023,1023,493
253852,1023,1023,495
255596,1023,1023,495
257340,1023,1023,495
259088,1023,1023,495
260828,1023,1023,495
262572,1023,1023,495
264308,1023,1023,495
266044,1023,1023,495
267788,1023,1023,495
269524,1023,1023,495
271268,1023,1023,495
273004,1023,1023,495
274748,1023,1023,495
276500,1023,1023,495
278236,1023,1023,495
279972,1023,1023,495
281716,1023,1023,495
283460,1023,1023,495
285196,1023,1023,495
286940,1023,1023,495
288684,1023,1023,495
293920,1023,1023,493
295660,1023,1023,493
297404,1023,1023,494
299148,1023,1023,495
300892,1023,1023,495
302636,1023,1023,495
304380,1023,1023,495
306124,1023,1023,495
307868,1023,1023,495
309620,1023,1023,495
311356,1023,1023,495
313100,1023,1023,495
314852,1023,1023,495
316596,1023,1023,495
318340,1023,1023,495
320092,1023,1023,495
321836,1023,1023,495
323572,1023,1023,495
325316,1023,1023,495
327060,1023,1023,495
328804,1023,1023,495
330548,1023,1023,495
332284,1023,1023,495
337496,1023,1023,492
339236,1023,1023,493
340980,1023,1023,493
342716,1023,1023,495
344452,1023,1023,495
346196,1023,1023,495
347940,1023,1023,495
349684,1023,1023,495
351428,1023,1023,495
353164,1023,1023,495
354908,1023,1023,495
356652,1023,1023,495
358396,1023,1023,495
360144,1023,1023,495
361884,1023,1023,495
363620,1023,1023,495
365364,1023,1023,495
367108,1023,1023,495
368852,1023,1023,495
370596,1023,1023,494
372332,1023,1023,495
374076,1023,1023,495
375828,1023,1023,495
381060,1023,1023,492
382796,1023,1023,492
384540,1023,1023,492
386284,1023,1023,494
388020,1023,1023,494
389764,1023,1023,494
391508,1023,1023,494
393244,1023,1023,495
394988,1023,1023,495
396732,1023,1023,494
398476,1023,1023,495
400220,1023,1023,495
401964,1023,1023,494
403708,1023,1023,495
405444,1023,1023,495
407188,1023,1023,494
408940,1023,1023,494
410684,1023,1023,494
412428,1023,1023,494
414164,1023,1023,494
415900,1023,1023,494
417636,1023,1023,494
419380,1023,1023,494
424596,1023,1023,491
426348,1023,1023,492
428092,1023,1023,493
429836,1023,1023,494
431588,1023,1023,494
433332,1023,1023,495
435076,1023,1023,494
436828,1023,1023,494
438572,1023,1023,494
440308,1023,1023,495
442052,1023,1023,494
443796,1023,1023,494
445540,1023,1023,495
447284,1023,1023,494
449028,1023,1023,494
450772,1023,1023,494
452516,1023,1023,494
454260,1023,1023,494
456004,1023,1023,494
457748,1023,1023,494
459484,1023,1023,494
461228,1023,1023,494
462980,1023,1023,494
464716,1023,1023,494
469944,1023,1023,492
471684,1023,1023,492
473428,1023,1023,493
475172,1023,1023,494
476916,1023,1023,494
478660,1023,1023,494
480404,1023,1023,494
482148,1023,1023,494
483884,1023,1023,494
485628,1023,1023,494
487372,1023,1023,494
489116,1023,1023,494
490868,1023,1023,494
492612,1023,1023,494
494356,1023,1023,494
496100,1023,1023,494
497844,1023,1023,494
499588,1023,1023,494
501340,1023,1023,494
503084,1023,1023,494
504828,1023,1023,494
506572,1023,1023,494
508316,1023,1023,494
513548,1023,1023,491
515284,1023,1023,492
517020,1023,1023,492
518756,1023,1023,494
520500,1023,1023,494
522248,1023,1023,494
523988,1023,1023,494
525724,1023,1023,494
527468,1023,1023,494
529204,1023,1023,494
530948,1023,1023,494
532684,1023,1023,494
534428,1023,1023,494
536164,1023,1023,494
537900,1023,1023,494
539644,1023,1023,494
541388,1023,1023,494
543132,1023,1023,494
544876,1023,1023,494
546620,1023,1023,494
548356,1023,1023,494
550100,1023,1023,494
551844,1023,1023,494
557088,1023,1023,491
558828,1023,1023,491
560572,1023,1023,492
562316,1023,1023,494
564060,1023,1023,494
565804,1023,1023,494
567548,1023,1023,494
569292,1023,1023,493
571036,1023,1023,493
572788,1023,1023,494
574536,1023,1023,494
576276,1023,1023,494
578020,1023,1023,493
579756,1023,1023,493
581492,1023,1023,493
583236,1023,1023,493
584980,1023,1023,494
586724,1023,1023,494
588460,1023,1023,493
590204,1023,1023,494
591948,1023,1023,493
593692,1023,1023,494
595436,1023,1023,493
600652,1023,1023,490
602396,1023,1023,491
604140,1023,1023,491
605884,1023,1023,493
607628,1023,1023,493
609372,1023,1023,493
611116,1023,1023,493
612864,1023,1023,493
614604,1023,1023,493
616348,1023,1023,493
618084,1023,1023,493
619820,1023,1023,494
621564,1023,1023,493
623308,1023,1023,493
625052,1023,1023,493
626796,1023,1023,493
628540,1023,1023,493
630284,1023,1023,493
632028,1023,1023,493
633772,1023,1023,493
635516,1023,1023,493
637264,1023,1023,493
639004,1023,1023,493
640752,1023,1023,493
645980,1023,1023,491
647716,1023,1023,491
649468,1023,1023,492
651212,1023,1023,493
652956,1023,1023,493
654708,1023,1023,493
656452,1023,1023,493
658196,1023,1023,493
659940,1023,1023,493
661676,1023,1023,493
663420,1023,1023,493
665172,1023,1023,493
666916,1023,1023,493
668660,1023,1023,493
670396,1023,1023,493
672132,1023,1023,493
673876,1023,1023,493
675612,1023,1023,493
677356,1023,1023,493
679100,1023,1023,493
680844,1023,1023,493
682588,1023,1023,493
684324,1023,1023,493
689536,1023,1023,490
691276,1023,1023,491
693020,1023,1023,491
694756,1023,1023,493
696500,1023,1023,493
698244,1023,1023,493
699988,1023,1023,493
701724,1023,1023,493
703468,1023,1023,493
705212,1023,1023,493
706956,1023,1023,493
708700,1023,1023,493
710444,1023,1023,493
712188,1023,1023,493
713932,1023,1023,493
715676,1023,1023,493
717424,1023,1023,493
719164,1023,1023,493
720916,1023,1023,493
722652,1023,1023,493
724396,1023,1023,493
726148,1023,1023,493
727892,1023,1023,493
733108,1023,1023,489
734844,1023,1023,491
736588,1023,1023,491
738332,1023,1023,492
740076,1023,1023,493
741820,1023,1023,493
743564,1023,1023,493
745308,1023,1023,493
747052,1023,1023,493
748796,1023,1023,493
750544,1023,1023,493
752284,1023,1023,492
754036,1023,1023,492
755780,1023,1023,492
757524,1023,1023,493
759268,1023,1023,493
761012,1023,1023,493
762756,1023,1023,493
764508,1023,1023,492
766252,1023,1023,492
767996,1023,1023,493
769744,1023,1023,493
771484,1023,1023,492
773220,1023,1023,492
778452,1023,1023,490
780196,1023,1023,491
781940,1023,1023,491
783684,1023,1023,492
785428,1023,1023,492
787172,1023,1023,492
788920,1023,1023,492
790668,1023,1023,492
792412,1023,1023,493
794156,1023,1023,492
