micros,A0,A1,A2
162284,1023,1023,488
164128,1023,1023,489
165872,1023,1023,491
167616,1023,1023,492
169360,1023,1023,492
171104,1023,1023,492
172848,1023,1023,492
174592,1023,1023,492
176336,1023,1023,492
178080,1023,1023,492
179824,1023,1023,492
181568,1023,1023,492
183316,1023,1023,492
185064,1023,1023,492
186808,1023,1023,492
188560,1023,1023,492
190304,1023,1023,492
192048,1023,1023,492
193792,1023,1023,492
195536,1023,1023,492
197280,1023,1023,492
199032,1023,1023,492
200776,1023,1023,492
206000,1023,1023,488
207740,1023,1023,489
209476,1023,1023,490
211212,1023,1023,492
212956,1023,1023,492
214692,1023,1023,491
216436,1023,1023,491
218180,1023,1023,492
219924,1023,1023,491
221668,1023,1023,492
223412,1023,1023,492
225156,1023,1023,492
226908,1023,1023,491
228652,1023,1023,492
230396,1023,1023,492
232140,1023,1023,491
233884,1023,1023,492
235628,1023,1023,491
237372,1023,1023,492
239116,1023,1023,491
240860,1023,1023,491
242604,1023,1023,492
244348,1023,1023,491
249560,1023,1023,488
251300,1023,1023,489
253044,1023,1023,489
254788,1023,1023,491
256532,1023,1023,491
258276,1023,1023,491
260012,1023,1023,491
261756,1023,1023,491
263492,1023,1023,491
265236,1023,1023,492
266980,1023,1023,491
268724,1023,1023,491
270468,1023,1023,491
272212,1023,1023,491
273948,1023,1023,491
275684,1023,1023,491
277420,1023,1023,491
279164,1023,1023,491
280908,1023,1023,491
282652,1023,1023,491
284396,1023,1023,491
286140,1023,1023,491
287884,1023,1023,491
289628,1023,1023,491
294852,1023,1023,488
296588,1023,1023,489
298332,1023,1023,490
300076,1023,1023,491
301820,1023,1023,491
303564,1023,1023,491
305308,1023,1023,491
307052,1023,1023,491
308796,1023,1023,491
310540,1023,1023,491
312284,1023,1023,491
314028,1023,1023,491
315772,1023,1023,491
317516,1023,1023,491
319260,1023,1023,491
321004,1023,1023,491
322748,1023,1023,491
324484,1023,1023,491
326236,1023,1023,491
327972,1023,1023,491
329716,1023,1023,491
331452,1023,1023,491
333188,1023,1023,491
338404,1023,1023,488
340140,1023,1023,488
341876,1023,1023,489
343620,1023,1023,491
345364,1023,1023,491
347108,1023,1023,491
348852,1023,1023,491
350596,1023,1023,491
352332,1023,1023,491
354076,1023,1023,491
355820,1023,1023,491
357564,1023,1023,491
359308,1023,1023,491
361052,1023,1023,491
362796,1023,1023,491
364532,1023,1023,491
366276,1023,1023,491
368020,1023,1023,491
369764,1023,1023,491
371500,1023,1023,491
373244,1023,1023,490
374988,1023,1023,491
376732,1023,1023,491
381976,1023,1023,487
383716,1023,1023,488
385460,1023,1023,488
387212,1023,1023,491
388948,1023,1023,491
390692,1023,1023,491
392444,1023,1023,491
394188,1023,1023,491
395932,1023,1023,490
397684,1023,1023,491
399428,1023,1023,491
401172,1023,1023,491
402916,1023,1023,491
404660,1023,1023,491
406404,1023,1023,491
408156,1023,1023,490
409900,1023,1023,491
411644,1023,1023,490
413388,1023,1023,490
415124,1023,1023,490
416868,1023,1023,491
418612,1023,1023,490
420348,1023,1023,491
425576,1023,1023,487
427316,1023,1023,488
429068,1023,1023,488
430804,1023,1023,490
432548,1023,1023,490
434284,1023,1023,490
436028,1023,1023,490
437772,1023,1023,490
439508,1023,1023,490
441252,1023,1023,490
442996,1023,1023,490
444740,1023,1023,490
446484,1023,1023,490
448228,1023,1023,490
449972,1023,1023,490
451716,1023,1023,490
453460,1023,1023,490
455204,1023,1023,490
456956,1023,1023,490
458700,1023,1023,490
460444,1023,1023,490
462196,1023,1023,490
463940,1023,1023,490
465684,1023,1023,490
470908,1023,1023,488
472660,1023,1023,488
474404,1023,1023,489
476148,1023,1023,490
477892,1023,1023,490
479636,1023,1023,490
481384,1023,1023,490
483124,1023,1023,490
484860,1023,1023,490
486604,1023,1023,490
488348,1023,1023,490
490084,1023,1023,490
491828,1023,1023,490
493580,1023,1023,490
495316,1023,1023,490
497060,1023,1023,490
498804,1023,1023,490
500548,1023,1023,490
502292,1023,1023,490
504036,1023,1023,490
505780,1023,1023,490
507524,1023,1023,490
509268,1023,1023,490
514504,1023,1023,487
516244,1023,1023,487
517980,1023,1023,488
519716,1023,1023,490
521468,1023,1023,490
523212,1023,1023,490
524956,1023,1023,490
526700,1023,1023,490
528436,1023,1023,490
530180,1023,1023,490
531916,1023,1023,490
533660,1023,1023,490
535404,1023,1023,490
537148,1023,1023,490
538884,1023,1023,490
540628,1023,1023,490
542364,1023,1023,490
544116,1023,1023,490
545860,1023,1023,490
547596,1023,1023,490
549348,1023,1023,490
551092,1023,1023,490
552836,1023,1023,490
558088,1023,1023,486
559828,1023,1023,487
561564,1023,1023,487
563308,1023,1023,490
565052,1023,1023,490
566788,1023,1023,489
568532,1023,1023,490
570276,1023,1023,490
572020,1023,1023,489
573764,1023,1023,490
575508,1023,1023,490
577244,1023,1023,489
578988,1023,1023,490
580724,1023,1023,490
582468,1023,1023,490
584212,1023,1023,490
585948,1023,1023,490
587692,1023,1023,490
589436,1023,1023,490
591180,1023,1023,490
592924,1023,1023,489
594668,1023,1023,490
596412,1023,1023,489
601628,1023,1023,485
603364,1023,1023,487
605100,1023,1023,487
606844,1023,1023,489
608588,1023,1023,489
610332,1023,1023,489
612076,1023,1023,489
613820,1023,1023,489
615568,1023,1023,489
617308,1023,1023,490
619052,1023,1023,490
620796,1023,1023,489
622540,1023,1023,490
624284,1023,1023,489
626036,1023,1023,489
627780,1023,1023,489
629524,1023,1023,489
631268,1023,1023,489
633012,1023,1023,489
634756,1023,1023,490
636512,1023,1023,490
638252,1023,1023,489
639996,1023,1023,489
641744,1023,1023,489
646968,1023,1023,486
648708,1023,1023,487
650444,1023,1023,488
652188,1023,1023,489
653924,1023,1023,489
655668,1023,1023,489
657420,1023,1023,489
659156,1023,1023,489
660892,1023,1023,489
662636,1023,1023,489
664372,1023,1023,489
666116,1023,1023,489
667852,1023,1023,489
669588,1023,1023,489
671324,1023,1023,489
673060,1023,1023,490
674804,1023,1023,489
676540,1023,1023,489
678276,1023,1023,489
680012,1023,1023,489
681756,1023,1023,489
683492,1023,1023,489
685228,1023,1023,489
690448,1023,1023,486
692188,1023,1023,487
693932,1023,1023,487
695668,1023,1023,489
697412,1023,1023,489
699156,1023,1023,489
700900,1023,1023,489
702644,1023,1023,489
