micros,A0,A1,A2
161208,1023,1023,487
163048,1023,1023,488
164792,1023,1023,489
166536,1023,1023,490
168280,1023,1023,490
170024,1023,1023,490
171768,1023,1023,490
173512,1023,1023,490
175256,1023,1023,490
177000,1023,1023,489
178744,1023,1023,490
180488,1023,1023,489
182232,1023,1023,490
183976,1023,1023,489
185720,1023,1023,490
187464,1023,1023,489
189208,1023,1023,489
190952,1023,1023,489
192696,1023,1023,489
194440,1023,1023,489
196192,1023,1023,489
197936,1023,1023,490
199688,1023,1023,489
204916,1023,1023,487
206660,1023,1023,487
208396,1023,1023,488
210132,1023,1023,489
211868,1023,1023,489
213604,1023,1023,489
215340,1023,1023,489
217076,1023,1023,489
218820,1023,1023,489
220564,1023,1023,489
222308,1023,1023,489
224052,1023,1023,489
225796,1023,1023,489
227532,1023,1023,489
229268,1023,1023,489
231012,1023,1023,489
232756,1023,1023,489
234508,1023,1023,489
236244,1023,1023,489
237988,1023,1023,489
239732,1023,1023,489
241476,1023,1023,489
243220,1023,1023,489
248432,1023,1023,486
250172,1023,1023,487
251924,1023,1023,487
253660,1023,1023,489
255404,1023,1023,489
257156,1023,1023,489
258900,1023,1023,489
260636,1023,1023,489
262372,1023,1023,489
264108,1023,1023,489
265852,1023,1023,489
267588,1023,1023,489
269328,1023,1023,489
271068,1023,1023,489
272804,1023,1023,489
274548,1023,1023,488
276284,1023,1023,488
278028,1023,1023,489
279772,1023,1023,488
281516,1023,1023,488
283260,1023,1023,489
285004,1023,1023,489
286740,1023,1023,488
288484,1023,1023,488
293708,1023,1023,486
295444,1023,1023,486
297188,1023,1023,488
298932,1023,1023,488
300676,1023,1023,489
302420,1023,1023,488
304164,1023,1023,488
305908,1023,1023,488
307652,1023,1023,488
309396,1023,1023,488
311140,1023,1023,488
312884,1023,1023,488
314628,1023,1023,488
316372,1023,1023,488
318116,1023,1023,488
319860,1023,1023,488
321604,1023,1023,488
323348,1023,1023,489
325092,1023,1023,488
326836,1023,1023,488
328580,1023,1023,488
330332,1023,1023,488
332068,1023,1023,488
337284,1023,1023,486
339020,1023,1023,486
340756,1023,1023,486
342500,1023,1023,488
344244,1023,1023,488
345980,1023,1023,488
347716,1023,1023,488
349452,1023,1023,488
351196,1023,1023,488
352932,1023,1023,488
354676,1023,1023,489
356420,1023,1023,488
358164,1023,1023,488
359908,1023,1023,488
361652,1023,1023,488
363396,1023,1023,488
365140,1023,1023,488
366884,1023,1023,488
368628,1023,1023,488
370372,1023,1023,488
372116,1023,1023,488
373860,1023,1023,488
375604,1023,1023,488
380836,1023,1023,485
382580,1023,1023,486
384324,1023,1023,486
386068,1023,1023,488
387804,1023,1023,488
389548,1023,1023,488
391300,1023,1023,488
393044,1023,1023,488
394788,1023,1023,488
396540,1023,1023,488
398284,1023,1023,488
400028,1023,1023,488
401780,1023,1023,488
403516,1023,1023,488
405260,1023,1023,488
407012,1023,1023,487
408756,1023,1023,488
410500,1023,1023,488
412252,1023,1023,488
413988,1023,1023,488
415724,1023,1023,488
417468,1023,1023,488
419212,1023,1023,487
424436,1023,1023,484
426172,1023,1023,485
427908,1023,1023,485
429660,1023,1023,487
431404,1023,1023,487
433148,1023,1023,487
434892,1023,1023,487
436636,1023,1023,487
438380,1023,1023,487
440124,1023,1023,487
441868,1023,1023,487
443612,1023,1023,487
445348,1023,1023,487
447092,1023,1023,487
448836,1023,1023,487
450580,1023,1023,487
452316,1023,1023,487
454052,1023,1023,487
455796,1023,1023,487
457540,1023,1023,487
459284,1023,1023,487
461028,1023,1023,487
462772,1023,1023,487
464508,1023,1023,487
469736,1023,1023,485
471476,1023,1023,485
473228,1023,1023,486
474972,1023,1023,487
476716,1023,1023,487
478460,1023,1023,487
480204,1023,1023,487
481948,1023,1023,487
483692,1023,1023,487
485436,1023,1023,487
487180,1023,1023,487
488932,1023,1023,487
490676,1023,1023,487
492420,1023,1023,487
494172,1023,1023,487
495916,1023,1023,487
497660,1023,1023,487
499404,1023,1023,487
501148,1023,1023,487
502892,1023,1023,487
504636,1023,1023,487
506380,1023,1023,487
508124,1023,1023,487
513364,1023,1023,484
515100,1023,1023,485
516836,1023,1023,485
518580,1023,1023,487
520324,1023,1023,487
522060,1023,1023,487
523796,1023,1023,487
525540,1023,1023,487
527284,1023,1023,487
529020,1023,1023,486
530764,1023,1023,487
532500,1023,1023,487
534244,1023,1023,487
535980,1023,1023,487
537716,1023,1023,487
539460,1023,1023,486
541196,1023,1023,487
542940,1023,1023,487
544684,1023,1023,487
546428,1023,1023,487
548164,1023,1023,486
549908,1023,1023,487
551644,1023,1023,486
556876,1023,1023,484
558620,1023,1023,485
560364,1023,1023,484
562108,1023,1023,486
563844,1023,1023,487
565588,1023,1023,486
567324,1023,1023,486
569068,1023,1023,486
570812,1023,1023,486
572556,1023,1023,486
574300,1023,1023,486
576044,1023,1023,486
577788,1023,1023,486
579524,1023,1023,487
581260,1023,1023,486
582996,1023,1023,487
584732,1023,1023,486
586476,1023,1023,487
588220,1023,1023,486
589964,1023,1023,486
591708,1023,1023,487
593452,1023,1023,486
595196,1023,1023,486
